title,director,year,runtime,countries,genres,premiere_status,session_date,session_venue,session_time,film_url
Murmuration,Janneke Swinkels,2025,12 mins,"Belgium, Netherlands",Animation,Australian Premiere,2025-08-09,ACMI,10:45am,https://miff.com.au/program/film/murmuration
Murmuration,Janneke Swinkels,2025,12 mins,"Belgium, Netherlands",Animation,Australian Premiere,2025-08-17,Unknown,11:00am,https://miff.com.au/program/film/murmuration
Touch Me,Addison Heimann,2024,99 mins,USA,"Comedy, Horror",Australian Premiere,2025-08-15,ACMI,10:30am,https://miff.com.au/program/film/touch-me
Touch Me,Addison Heimann,2024,99 mins,USA,"Comedy, Horror",Australian Premiere,2025-08-22,Hoyts 11Level 3,6:15pm,https://miff.com.au/program/film/touch-me
Le 15/8,Samy Szlingerbaum,1973,42 mins,Belgium,"Documentary, Experimental",,2025-08-15,ACMI,10:30am,https://miff.com.au/program/film/le-158
Family Gala: The Bad Guys 2,Pierre Perifel,2025,104 mins,USA,Animation,Australian Premiere,2025-08-17,Hoyts 10Level 3,22:45pm,https://miff.com.au/program/film/family-gala-the-bad-guys-2
Family Gala: The Bad Guys 2,Pierre Perifel,2025,104 mins,USA,Animation,Australian Premiere,2025-08-17,Hoyts 11Level 3,23:00pm,https://miff.com.au/program/film/family-gala-the-bad-guys-2
Saute ma ville,Chantal Akerman,1968,13 mins,Belgium,"Drama, Experimental",Australian Premiere,2025-08-10,Unknown,1:15pm,https://miff.com.au/program/film/saute-ma-ville
The Golden Spurtle,Constantine Costi,2025,75 mins,"Australia, UK",Documentary,Victorian Premiere,2025-08-10,ACMI,11:30am,https://miff.com.au/program/film/the-golden-spurtle
The Golden Spurtle,Constantine Costi,2025,75 mins,"Australia, UK",Documentary,Victorian Premiere,2025-08-13,Unknown,6:15pm,https://miff.com.au/program/film/the-golden-spurtle
The Golden Spurtle,Constantine Costi,2025,75 mins,"Australia, UK",Documentary,Victorian Premiere,2025-08-24,Capitol113 Swanston StThe Golden Spurtle10:00amTwo Prosecutors12:30pmSound of Falling3:15pmThe Blue Trail7:00pmWhat Does That Nature Say To You9:15pm The Golden Spurtle10:00am The Golden Spurtle10:00am The Golden Spurtle,10:00am,https://miff.com.au/program/film/the-golden-spurtle
Young Mothers,Luc Dardenne,2025,105 mins,"France, Belgium",Drama,Victorian Premiere,2025-08-08,ACMI,1:30pm,https://miff.com.au/program/film/young-mothers
Young Mothers,Luc Dardenne,2025,105 mins,"France, Belgium",Drama,Victorian Premiere,2025-08-11,ACMI,10:00am,https://miff.com.au/program/film/young-mothers
Young Mothers,Luc Dardenne,2025,105 mins,"France, Belgium",Drama,Victorian Premiere,2025-08-16,Hoyts 8/10Level 3,4:00pm,https://miff.com.au/program/film/young-mothers
Vox Humana,Don Josephus Raphael Eblahan,2024,22 mins,"USA, Philippines, Singapore","Drama, Fantasy",Australian Premiere,2025-08-09,ACMI,11:15am,https://miff.com.au/program/film/vox-humana
Vox Humana,Don Josephus Raphael Eblahan,2024,22 mins,"USA, Philippines, Singapore","Drama, Fantasy",Australian Premiere,2025-08-21,Unknown,3:45pm,https://miff.com.au/program/film/vox-humana
Chantal Akerman par Chantal Akerman,Chantal Akerman,1996,63 mins,France,Documentary,,2025-08-18,ACMI,11:00am,https://miff.com.au/program/film/chantal-akerman-par-chantal-akerman
The Sealed Soil,Marva Nabili,1977,90 mins,Iran,Drama,Australian Premiere,2025-08-09,ACMI,11:15am,https://miff.com.au/program/film/the-sealed-soil
The Sealed Soil,Marva Nabili,1977,90 mins,Iran,Drama,Australian Premiere,2025-08-15,Unknown,4:00pm,https://miff.com.au/program/film/the-sealed-soil
"Journey Home, David Gulpilil",Trisha Morton-Thomas,2025,88 mins,Australia,Documentary,Victorian Premiere,2025-08-21,Forum154 Flinders StreetWoman and Child10:15amThe President's Cake1:15pmNineteen3:45pmJourney Home,10:15am,https://miff.com.au/program/film/journey-home-david-gulpilil
"Journey Home, David Gulpilil",Trisha Morton-Thomas,2025,88 mins,Australia,Documentary,Victorian Premiere,2025-08-23,Capitol113 Swanston StJourney Home,10:15am,https://miff.com.au/program/film/journey-home-david-gulpilil
"Journey Home, David Gulpilil",Trisha Morton-Thomas,2025,88 mins,Australia,Documentary,Victorian Premiere,2025-08-24,Unknown,1:15pm,https://miff.com.au/program/film/journey-home-david-gulpilil
Cloud,Kiyoshi Kurosawa,2024,123 mins,Japan,Thriller,Victorian Premiere,2025-08-17,Unknown,1:15pm,https://miff.com.au/program/film/cloud
Cloud,Kiyoshi Kurosawa,2024,123 mins,Japan,Thriller,Victorian Premiere,2025-08-21,Hoyts 8/10Level 3,6:00pm,https://miff.com.au/program/film/cloud
Signorinella: Little Miss,Angelo Pricolo,2025,86 mins,Australia,Documentary,World Premiere,2025-08-16,Forum154 Flinders StreetHomebound10:00amSignorinella: Little Miss1:00pmBlue Moon3:45pmPasa Faho6:30pmPeter Hujar's Day9:15pm Signorinella: Little Miss1:00pm Signorinella: Little Miss1:00pm Signorinella: Little Miss,10:00am,https://miff.com.au/program/film/signorinella-little-miss
Signorinella: Little Miss,Angelo Pricolo,2025,86 mins,Australia,Documentary,World Premiere,2025-08-20,Unknown,11:00am,https://miff.com.au/program/film/signorinella-little-miss
Signorinella: Little Miss,Angelo Pricolo,2025,86 mins,Australia,Documentary,World Premiere,2025-08-23,Capitol113 Swanston StJourney Home,10:15am,https://miff.com.au/program/film/signorinella-little-miss
The Square,Kim Bo-sol,2024,73 mins,South Korea,"Drama, Animation",Australian Premiere,2025-08-16,Unknown,1:15pm,https://miff.com.au/program/film/the-square
The Square,Kim Bo-sol,2024,73 mins,South Korea,"Drama, Animation",Australian Premiere,2025-08-22,ACMI,10:45am,https://miff.com.au/program/film/the-square
DJ Ahmet,Georgi M. Unkovski,2025,99 mins,"Croatia, Serbia, North Macedonia, Czechia","Drama, Comedy",Victorian Premiere,2025-08-08,Unknown,6:30pm,https://miff.com.au/program/film/dj-ahmet
DJ Ahmet,Georgi M. Unkovski,2025,99 mins,"Croatia, Serbia, North Macedonia, Czechia","Drama, Comedy",Victorian Premiere,2025-08-15,Forum154 Flinders StreetDJ Ahmet10:30amOrwell: 2+2 = 51:00pmThe Blue Trail3:45pmBut Also John Clarke6:15pmLesbian Space Princess9:15pm DJ Ahmet10:30am DJ Ahmet10:30am DJ Ahmet,10:30am,https://miff.com.au/program/film/dj-ahmet
DJ Ahmet,Georgi M. Unkovski,2025,99 mins,"Croatia, Serbia, North Macedonia, Czechia","Drama, Comedy",Victorian Premiere,2025-08-22,ACMI,10:45am,https://miff.com.au/program/film/dj-ahmet
DJ Ahmet,Georgi M. Unkovski,2025,99 mins,"Croatia, Serbia, North Macedonia, Czechia","Drama, Comedy",Victorian Premiere,2025-08-24,Forum154 Flinders StreetBut Also John Clarke10:15amCome See Me in the Good Light1:00pmThe Chronology of Water4:00pmBest MIFF Shorts6:45pmDJ Ahmet9:30pm DJ Ahmet9:30pm DJ Ahmet9:30pm DJ Ahmet,10:15am,https://miff.com.au/program/film/dj-ahmet
Portrait d’une jeune fille de la fin des années 60 à Bruxelles,Chantal Akerman,1993,60 mins,France,Drama,,2025-08-23,ACMI,10:30am,https://miff.com.au/program/film/portrait-dune-jeune-fille-de-la-fin-des-annees-60-a-bruxelles
Lettre de cinéaste,Chantal Akerman,1985,8 mins,France,"Documentary, Experimental",,2025-08-20,Unknown,6:30pm,https://miff.com.au/program/film/lettre-de-cineaste
Once Upon a Time in Gaza,Tarzan Nasser,2025,91 mins,"Germany, France, Portugal, Qatar, Palestine","Comedy, Action",Australian Premiere,2025-08-14,Hoyts 8/10Level 3,6:15pm,https://miff.com.au/program/film/once-upon-a-time-in-gaza
