date,film_title,film_id,film_url,venue,time,context
2025-08-09,Drunken Noodles,drunken-noodles,https://miff.com.au/program/film/drunken-noodles,Unknown,4:00pm,"Kino 1Lower Ground Level, 45 Collins StreetSeeds4:00pmDeaf6:45pmDrunken Noodles9:15pm Drunken Noodles9:15pm Drunken Noodles9:15pm Drunken Noodles "
2025-08-09,Love,love,https://miff.com.au/program/film/love,Unknown,6:15pm,"Kino 2Lower Ground Level, 45 Collins StreetLove6:15pmTwelve Moons9:00pm Love6:15pm Love6:15pm Love "
2025-08-09,Twelve Moons,twelve-moons,https://miff.com.au/program/film/twelve-moons,Unknown,6:15pm,"Kino 2Lower Ground Level, 45 Collins StreetLove6:15pmTwelve Moons9:00pm Twelve Moons9:00pm Twelve Moons9:00pm Twelve Moons "
2025-08-09,Blue Moon,blue-moon,https://miff.com.au/program/film/blue-moon,Unknown,3:30pm,The Astor Theatre1 Chapel StBlue Moon3:30pmSpecial Preview: Eddington6:15pmIf I Had Legs I'd Kick You9:45pm Blue Moon3:30pm Blue Moon3:30pm Blue Moon 
2025-08-09,Special Preview: Eddington,special-preview-eddington,https://miff.com.au/program/film/special-preview-eddington,Unknown,3:30pm,The Astor Theatre1 Chapel StBlue Moon3:30pmSpecial Preview: Eddington6:15pmIf I Had Legs I'd Kick You9:45pm Special Preview: Eddington6:15pm Special Preview: Eddington6:15pm Special Preview: Eddington
2025-08-09,If I Had Legs I'd Kick You,if-i-had-legs-id-kick-you,https://miff.com.au/program/film/if-i-had-legs-id-kick-you,Unknown,3:30pm,The Astor Theatre1 Chapel StBlue Moon3:30pmSpecial Preview: Eddington6:15pmIf I Had Legs I'd Kick You9:45pm If I Had Legs I'd Kick You9:45pm If I Had Legs I'd Kick You9:45pm If I Had Legs I'd Kick You
2025-08-09,"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",jeanne-dielman-23-quai-du-commerce-1080-bruxelles,https://miff.com.au/program/film/jeanne-dielman-23-quai-du-commerce-1080-bruxelles,Capitol113 Swanston StJeanne Dielman,2:00pm,"The Capitol113 Swanston StJeanne Dielman, 23, quai du Commerce, 1080 Bruxelles2:00pmOne More Shot6:45pmKontinental '259:30pm Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles2:00pm Jeanne Dielman, "
2025-08-09,One More Shot,one-more-shot,https://miff.com.au/program/film/one-more-shot,Capitol113 Swanston StJeanne Dielman,2:00pm,"The Capitol113 Swanston StJeanne Dielman, 23, quai du Commerce, 1080 Bruxelles2:00pmOne More Shot6:45pmKontinental '259:30pm One More Shot6:45pm One More Shot6:45pm One More Shot "
2025-08-09,Kontinental '25,kontinental-25,https://miff.com.au/program/film/kontinental-25,Capitol113 Swanston StJeanne Dielman,2:00pm,"The Capitol113 Swanston StJeanne Dielman, 23, quai du Commerce, 1080 Bruxelles2:00pmOne More Shot6:45pmKontinental '259:30pm Kontinental '259:30pm Kontinental '259:30pm Kontinental '25 "
2025-08-10,Space Cadet,space-cadet,https://miff.com.au/program/film/space-cadet,ACMI,11:30am,"ACMI 1Federation Square, Flinders StSpace Cadet11:30amThe Golden Spurtle1:45pmLittle Trouble Girls4:15pmFamiliar Touch6:30pm Space Cadet11:30am Space Cadet11:30am Space Cadet "
2025-08-10,The Golden Spurtle,the-golden-spurtle,https://miff.com.au/program/film/the-golden-spurtle,ACMI,11:30am,"ACMI 1Federation Square, Flinders StSpace Cadet11:30amThe Golden Spurtle1:45pmLittle Trouble Girls4:15pmFamiliar Touch6:30pm The Golden Spurtle1:45pm The Golden Spurtle1:45pm The Golden Spurtle "
2025-08-10,Little Trouble Girls,little-trouble-girls,https://miff.com.au/program/film/little-trouble-girls,ACMI,11:30am,"ACMI 1Federation Square, Flinders StSpace Cadet11:30amThe Golden Spurtle1:45pmLittle Trouble Girls4:15pmFamiliar Touch6:30pm Little Trouble Girls4:15pm Little Trouble Girls4:15pm Little Trouble Girls "
2025-08-10,Familiar Touch,familiar-touch,https://miff.com.au/program/film/familiar-touch,ACMI,11:30am,"ACMI 1Federation Square, Flinders StSpace Cadet11:30amThe Golden Spurtle1:45pmLittle Trouble Girls4:15pmFamiliar Touch6:30pm Familiar Touch6:30pm Familiar Touch6:30pm Familiar Touch "
2025-08-10,Promised Sky,promised-sky,https://miff.com.au/program/film/promised-sky,ACMI,11:15am,"ACMI 2Federation Square, Flinders StPromised Sky11:15amOlivia & the Clouds1:30pmModel3:45pmExperimental ShortsAnother OtherArchipelago of Earthen Bones — To BunyaLes Rites de PassageOur Lady Who Burns"
2025-08-10,Olivia & the Clouds,olivia-the-clouds,https://miff.com.au/program/film/olivia-the-clouds,ACMI,11:15am,"ACMI 2Federation Square, Flinders StPromised Sky11:15amOlivia & the Clouds1:30pmModel3:45pmExperimental ShortsAnother OtherArchipelago of Earthen Bones — To BunyaLes Rites de PassageOur Lady Who Burns"
2025-08-10,Model,model,https://miff.com.au/program/film/model,ACMI,11:15am,"ACMI 2Federation Square, Flinders StPromised Sky11:15amOlivia & the Clouds1:30pmModel3:45pmExperimental ShortsAnother OtherArchipelago of Earthen Bones — To BunyaLes Rites de PassageOur Lady Who Burns"
2025-08-10,Experimental Shorts,experimental-shorts,https://miff.com.au/program/film/experimental-shorts,ACMI,11:15am,"ACMI 2Federation Square, Flinders StPromised Sky11:15amOlivia & the Clouds1:30pmModel3:45pmExperimental ShortsAnother OtherArchipelago of Earthen Bones — To BunyaLes Rites de PassageOur Lady Who Burns"
2025-08-10,Another Other,another-other,https://miff.com.au/program/film/another-other,ACMI,11:15am,"ACMI 2Federation Square, Flinders StPromised Sky11:15amOlivia & the Clouds1:30pmModel3:45pmExperimental ShortsAnother OtherArchipelago of Earthen Bones — To BunyaLes Rites de PassageOur Lady Who Burns"
2025-08-10,Archipelago of Earthen Bones — To Bunya,archipelago-of-earthen-bones-to-bunya,https://miff.com.au/program/film/archipelago-of-earthen-bones-to-bunya,ACMI,11:15am,"ACMI 2Federation Square, Flinders StPromised Sky11:15amOlivia & the Clouds1:30pmModel3:45pmExperimental ShortsAnother OtherArchipelago of Earthen Bones — To BunyaLes Rites de PassageOur Lady Who Burns"
2025-08-10,Les Rites de Passage,les-rites-de-passage,https://miff.com.au/program/film/les-rites-de-passage,ACMI,11:15am,"ACMI 2Federation Square, Flinders StPromised Sky11:15amOlivia & the Clouds1:30pmModel3:45pmExperimental ShortsAnother OtherArchipelago of Earthen Bones — To BunyaLes Rites de PassageOur Lady Who Burns"
2025-08-10,Our Lady Who Burns,our-lady-who-burns,https://miff.com.au/program/film/our-lady-who-burns,ACMI,11:15am,"ACMI 2Federation Square, Flinders StPromised Sky11:15amOlivia & the Clouds1:30pmModel3:45pmExperimental ShortsAnother OtherArchipelago of Earthen Bones — To BunyaLes Rites de PassageOur Lady Who Burns"
2025-08-10,Remote Views,remote-views,https://miff.com.au/program/film/remote-views,ACMI,11:15am,"ACMI 2Federation Square, Flinders StPromised Sky11:15amOlivia & the Clouds1:30pmModel3:45pmExperimental ShortsAnother OtherArchipelago of Earthen Bones — To BunyaLes Rites de PassageOur Lady Who Burns"
